Isolate ID , Isolate name ,Location, Collection date , Segment  , Segment number , Type , Lineage , Passage details/history , Submitter , Sample ID by sample provider , Sample ID by submitting lab , Last modified , Originating lab , Submitting lab , Identifier , DNA Accession no. , DNA INSDC
EPI_ISL_299761,A/AbuDhabi/001/2017,AbuDhabi,10/15/17,HA,4,A/H3N2,,X,GartenKondorRebecca,A/ABUDHABI/001/2017,3000682775,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682775_N8K8Y4RH_v1_4,1179733,
EPI_ISL_299762,A/AbuDhabi/0013/2017,AbuDhabi,10/15/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/0013/2017ORIGINAL,3000682748,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682748_N8K8Y4NQ_v1_4,1179741,
EPI_ISL_299763,A/AbuDhabi/002/2017,AbuDhabi,10/15/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/002/2017ORIGINAL,3000682739,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682739_N8K8Y4MH_v1_4,1179749,
EPI_ISL_299769,A/AbuDhabi/007/2017,AbuDhabi,10/22/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/007/2017ORIGINAL,3000682744,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682744_N8K8Y4N6_v1_4,1179797,
EPI_ISL_299770,A/AbuDhabi/008/2017,AbuDhabi,10/22/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/008/2017ORIGINAL,3000682745,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682745_N8K8Y4NB_v1_4,1179805,
EPI_ISL_299773,A/AbuDhabi/012/2017,AbuDhabi,10/23/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/012/2017ORIGINAL,3000682747,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682747_N8K8Y4NL_v1_4,1179828,
EPI_ISL_299774,A/AbuDhabi/014/2017,AbuDhabi,10/23/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/014/2017ORIGINAL,3000682749,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682749_N8K8Y4NV_v1_4,1179836,
EPI_ISL_299775,A/AbuDhabi/015/2017,AbuDhabi,10/25/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/015/2017ORIGINAL,3000682750,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682750_N8K8Y4O0_v1_4,1179844,
EPI_ISL_299776,A/AbuDhabi/016/2017,AbuDhabi,10/25/17,HA,4,A/H3N2,,S2,GartenKondorRebecca,A/ABUDHABI/016/2017ORIGINAL,3000682751,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682751_000J3GS9_v1_4,1179852,
EPI_ISL_299777,A/AbuDhabi/016/2017,AbuDhabi,10/25/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/016/2017ORIGINAL,3000682751,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682751_N8K8Y4O5_v1_4,1179860,
EPI_ISL_299785,A/AbuDhabi/024/2017,AbuDhabi,10/25/17,HA,4,A/H3N2,,S2,GartenKondorRebecca,A/ABUDHABI/024/2017ORIGINAL,3000682758,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682758_000J3GSE_v1_4,1179924,
EPI_ISL_299786,A/AbuDhabi/024/2017,AbuDhabi,10/25/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/024/2017ORIGINAL,3000682758,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000682758_N8K8Y4P4_v1_4,1179932,
EPI_ISL_300812,A/AbuDhabi/179/2017,AbuDhabi,10/30/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/179/2017ORIGINAL,3000687057,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687057_N8K8YLA7_v1_4,1185535,
EPI_ISL_300811,A/AbuDhabi/181/2017,AbuDhabi,11/2/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/181/2017ORIGINAL,3000687059,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687059_N8K8YLAH_v1_4,1185526,
EPI_ISL_300810,A/AbuDhabi/182/2017,AbuDhabi,11/5/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/182/2017ORIGINAL,3000687060,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687060_N8K8YLAM_v1_4,1185518,
EPI_ISL_299805,A/AbuDhabi/076/2017,AbuDhabi,11/6/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/076/2017ORIGINAL,3000687040,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687040_N8K8YL7U_v1_4,1180084,
EPI_ISL_299806,A/AbuDhabi/078/2017,AbuDhabi,11/6/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/078/2017ORIGINAL,3000687041,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687041_N8K8YL7Z_v1_4,1180092,
EPI_ISL_299810,A/AbuDhabi/097/2017,AbuDhabi,11/7/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/097/2017ORIGINAL,3000687045,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687045_N8K8YL8J_v1_4,1180124,
EPI_ISL_299811,A/AbuDhabi/100/2017,AbuDhabi,11/7/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/100/2017ORIGINAL,3000687046,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687046_N8K8YL8O_v1_4,1180132,
EPI_ISL_299812,A/AbuDhabi/106/2017,AbuDhabi,11/7/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/106/2017ORIGINAL,3000687047,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687047_N8K8YL8T_v1_4,1180140,
EPI_ISL_299813,A/AbuDhabi/107/2017,AbuDhabi,11/7/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/107/2017ORIGINAL,3000687048,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687048_N8K8YL8Y_v1_4,1180148,
EPI_ISL_305792,A/AbuDhabi/106/2017,AbuDhabi,11/7/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,A/ABUDHABI/106/2017ORIGINAL,3000687047,4/3/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687047_000J3JLQ_v1_4,1209830,
EPI_ISL_300817,A/AbuDhabi/111/2017,AbuDhabi,11/8/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/111/2017ORIGINAL,3000687049,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687049_N8K8YL93_v1_4,1185575,
EPI_ISL_300813,A/AbuDhabi/125/2017,AbuDhabi,11/9/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/125/2017ORIGINAL,3000687053,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687053_N8K8YL9N_v1_4,1185543,
EPI_ISL_300814,A/AbuDhabi/122/2017,AbuDhabi,11/9/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/122/2017ORIGINAL,3000687052,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687052_N8K8YL9I_v1_4,1185551,
EPI_ISL_300815,A/AbuDhabi/121/2017,AbuDhabi,11/9/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/121/2017ORIGINAL,3000687051,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687051_N8K8YL9D_v1_4,1185559,
EPI_ISL_300816,A/AbuDhabi/120/2017,AbuDhabi,11/9/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/120/2017ORIGINAL,3000687050,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687050_N8K8YL98_v1_4,1185567,
EPI_ISL_300809,A/AbuDhabi/189/2017,AbuDhabi,11/10/17,HA,4,A/H3N2,,Original,DaSilvaJuliana,A/ABUDHABI/189/2017ORIGINAL,3000687067,2/26/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687067_N8K8YLBL_v1_4,1185510,
EPI_ISL_305791,A/AbuDhabi/189/2017,AbuDhabi,11/10/17,HA,4,A/H3N2,,S1,DaSilvaJuliana,A/ABUDHABI/189/2017ORIGINAL,3000687067,4/3/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687067_000J3JLB_v1_4,1209822,
EPI_ISL_299823,A/AbuDhabi/191/2017,AbuDhabi,11/12/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/191/2017ORIGINAL,3000687069,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687069_N8K8YLBV_v1_4,1180228,
EPI_ISL_299826,A/AbuDhabi/194/2017,AbuDhabi,11/12/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/194/2017ORIGINAL,3000687072,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687072_N8K8YLCA_v1_4,1180252,
EPI_ISL_299821,A/AbuDhabi/187/2017,AbuDhabi,11/13/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/187/2017ORIGINAL,3000687065,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687065_N8K8YLBB_v1_4,1180212,
EPI_ISL_299822,A/AbuDhabi/188/2017,AbuDhabi,11/13/17,HA,4,A/H3N2,,Original,GartenKondorRebecca,A/ABUDHABI/188/2017ORIGINAL,3000687066,2/20/18,ShaikhKhalifaMedicalCity,CentersforDiseaseControlandPrevention,3000687066_N8K8YLBG_v1_4,1180220,
